Case,Maximum breadth,Basibregmatic height,Basialveolar length,Nasal height,Period
1,131,138,89,49,Early predynastic
2,125,131,92,48,Early predynastic
3,131,132,99,50,Early predynastic
4,119,132,96,44,Early predynastic
5,136,143,100,54,Early predynastic
6,138,137,89,56,Early predynastic
7,139,130,108,48,Early predynastic
8,125,136,93,48,Early predynastic
9,131,134,102,51,Early predynastic
10,134,134,99,51,Early predynastic
11,129,138,95,50,Early predynastic
12,134,121,95,53,Early predynastic
13,126,129,109,51,Early predynastic
14,132,136,100,50,Early predynastic
15,141,140,100,51,Early predynastic
16,131,134,97,54,Early predynastic
17,135,137,103,50,Early predynastic
18,132,133,93,53,Early predynastic
19,139,136,96,50,Early predynastic
20,132,131,101,49,Early predynastic
21,126,133,102,51,Early predynastic
22,135,135,103,47,Early predynastic
23,134,124,93,53,Early predynastic
24,128,134,103,50,Early predynastic
25,130,130,104,49,Early predynastic
26,138,135,100,55,Early predynastic
27,128,132,93,53,Early predynastic
28,127,129,106,48,Early predynastic
29,131,136,114,54,Early predynastic
30,124,138,101,46,Early predynastic
31,124,138,101,48,Late predynastic
32,133,134,97,48,Late predynastic
33,138,134,98,45,Late predynastic
34,148,129,104,51,Late predynastic
35,126,124,95,45,Late predynastic
36,135,136,98,52,Late predynastic
37,132,145,100,54,Late predynastic
38,133,130,102,48,Late predynastic
39,131,134,96,50,Late predynastic
40,133,125,94,46,Late predynastic
41,133,136,103,53,Late predynastic
42,131,139,98,51,Late predynastic
43,131,136,99,56,Late predynastic
44,138,134,98,49,Late predynastic
45,130,136,104,53,Late predynastic
46,131,128,98,45,Late predynastic
47,138,129,107,53,Late predynastic
48,123,131,101,51,Late predynastic
49,130,129,105,47,Late predynastic
50,134,130,93,54,Late predynastic
51,137,136,106,49,Late predynastic
52,126,131,100,48,Late predynastic
53,135,136,97,52,Late predynastic
54,129,126,91,50,Late predynastic
55,134,139,101,49,Late predynastic
56,131,134,90,53,Late predynastic
57,132,130,104,50,Late predynastic
58,130,132,93,52,Late predynastic
59,135,132,98,54,Late predynastic
60,130,128,101,51,Late predynastic
61,137,141,96,52,12th and 13th Dynasty
62,129,133,93,47,12th and 13th Dynasty
63,132,138,87,48,12th and 13th Dynasty
64,130,134,106,50,12th and 13th Dynasty
65,134,134,96,45,12th and 13th Dynasty
66,140,133,98,50,12th and 13th Dynasty
67,138,138,95,47,12th and 13th Dynasty
68,136,145,99,55,12th and 13th Dynasty
69,136,131,92,46,12th and 13th Dynasty
70,126,136,95,56,12th and 13th Dynasty
71,137,129,100,53,12th and 13th Dynasty
72,137,139,97,50,12th and 13th Dynasty
73,136,126,101,50,12th and 13th Dynasty
74,137,133,90,49,12th and 13th Dynasty
75,129,142,104,47,12th and 13th Dynasty
76,135,138,102,55,12th and 13th Dynasty
77,129,135,92,50,12th and 13th Dynasty
78,134,125,90,60,12th and 13th Dynasty
79,138,134,96,51,12th and 13th Dynasty
80,136,135,94,53,12th and 13th Dynasty
81,132,130,91,52,12th and 13th Dynasty
82,133,131,100,50,12th and 13th Dynasty
83,138,137,94,51,12th and 13th Dynasty
84,130,127,99,45,12th and 13th Dynasty
85,136,133,91,49,12th and 13th Dynasty
86,134,123,95,52,12th and 13th Dynasty
87,136,137,101,54,12th and 13th Dynasty
88,133,131,96,49,12th and 13th Dynasty
89,138,133,100,55,12th and 13th Dynasty
90,138,133,91,46,12th and 13th Dynasty
91,137,134,107,54,Ptolemaic period
92,141,128,95,53,Ptolemaic period
93,141,130,87,49,Ptolemaic period
94,135,131,99,51,Ptolemaic period
95,133,120,91,46,Ptolemaic period
96,131,135,90,50,Ptolemaic period
97,140,137,94,60,Ptolemaic period
98,139,130,90,48,Ptolemaic period
99,140,134,90,51,Ptolemaic period
100,138,140,100,52,Ptolemaic period
101,132,133,90,53,Ptolemaic period
102,134,134,97,54,Ptolemaic period
103,135,135,99,50,Ptolemaic period
104,133,136,95,52,Ptolemaic period
105,136,130,99,55,Ptolemaic period
106,134,137,93,52,Ptolemaic period
107,131,141,99,55,Ptolemaic period
108,129,135,95,47,Ptolemaic period
109,136,128,93,54,Ptolemaic period
110,131,125,88,48,Ptolemaic period
111,139,130,94,53,Ptolemaic period
112,144,124,86,50,Ptolemaic period
113,141,131,97,53,Ptolemaic period
114,130,131,98,53,Ptolemaic period
115,133,128,92,51,Ptolemaic period
116,138,126,97,54,Ptolemaic period
117,131,142,95,53,Ptolemaic period
118,136,138,94,55,Ptolemaic period
119,132,136,92,52,Ptolemaic period
120,135,130,100,51,Ptolemaic period
121,137,123,91,50,Roman period
122,136,131,95,49,Roman period
123,128,126,91,57,Roman period
124,130,134,92,52,Roman period
125,138,127,86,47,Roman period
126,126,138,101,52,Roman period
127,136,138,97,58,Roman period
128,126,126,92,45,Roman period
129,132,132,99,55,Roman period
130,139,135,92,54,Roman period
131,143,120,95,51,Roman period
132,141,136,101,54,Roman period
133,135,135,95,56,Roman period
134,137,134,93,53,Roman period
135,142,135,96,52,Roman period
136,139,134,95,47,Roman period
137,138,125,99,51,Roman period
138,137,135,96,54,Roman period
139,133,125,92,50,Roman period
140,145,129,89,47,Roman period
141,138,136,92,46,Roman period
142,131,129,97,44,Roman period
143,143,126,88,54,Roman period
144,134,124,91,55,Roman period
145,132,127,97,52,Roman period
146,137,125,85,57,Roman period
147,129,128,81,52,Roman period
148,140,135,103,48,Roman period
149,147,129,87,48,Roman period
150,136,133,97,51,Roman period
